SLOID,status
ch:1:sloid:3610::20,1
ch:1:sloid:90928::51,0
ch:1:sloid:88030::51,1
ch:1:sloid:95265::51,1
ch:1:sloid:76028::52,1
ch:1:sloid:73692::11,1
ch:1:sloid:76262::11,1
ch:1:sloid:80912::20,1
ch:1:sloid:80461::11,1
ch:1:sloid:82398::11,1
ch:1:sloid:91048::20,1
ch:1:sloid:91050::20,1
ch:1:sloid:95330::51,0
ch:1:sloid:73671::10,1
ch:1:sloid:90499::52,0
ch:1:sloid:80456::10,1
ch:1:sloid:5363::51,0
ch:1:sloid:90533::53,0
ch:1:sloid:80798::10,1
ch:1:sloid:90803::10,1
ch:1:sloid:91008::11,1
ch:1:sloid:73558::51,0
ch:1:sloid:73561::51,0
ch:1:sloid:75996::61,0
ch:1:sloid:91075::11,1
ch:1:sloid:91107::11,1
ch:1:sloid:75968::51,0
ch:1:sloid:76167::51,0
ch:1:sloid:91203::11,1
ch:1:sloid:91219::11,1
ch:1:sloid:3186::51,0
ch:1:sloid:76239::51,0
ch:1:sloid:91086::10,1
ch:1:sloid:91094::10,1
ch:1:sloid:91192::10,1
ch:1:sloid:95609::52,0
ch:1:sloid:76178::12,1
ch:1:sloid:90219::51,0
ch:1:sloid:90535::51,0
ch:1:sloid:91326::10,1
ch:1:sloid:90597::51,0
ch:1:sloid:88531::51,0
ch:1:sloid:6899::22,1
ch:1:sloid:87349::12,0
ch:1:sloid:91372::20,1
ch:1:sloid:91383::20,1
ch:1:sloid:91408::20,1
ch:1:sloid:91434::20,1
ch:1:sloid:90799::50,0
ch:1:sloid:90830::50,0
ch:1:sloid:91896::20,1
ch:1:sloid:30811::21,1
ch:1:sloid:91032::51,0
ch:1:sloid:80449::21,1
ch:1:sloid:91037::21,1
ch:1:sloid:91032::50,0
ch:1:sloid:91218::52,0
ch:1:sloid:90829::50,0
ch:1:sloid:95080::50,0
ch:1:sloid:91830::53,0
ch:1:sloid:91061::20,1
ch:1:sloid:91153::21,1
ch:1:sloid:91156::21,1
ch:1:sloid:91160::21,1
ch:1:sloid:91276::50,0
ch:1:sloid:3367::51,0
ch:1:sloid:3381::51,0
ch:1:sloid:91171::21,1
ch:1:sloid:95330::50,0
ch:1:sloid:95710::50,0
ch:1:sloid:95711::50,0
ch:1:sloid:91208::21,1
ch:1:sloid:73600::51,0
ch:1:sloid:75923::51,0
ch:1:sloid:75934::51,0
ch:1:sloid:76064::51,0
ch:1:sloid:91266::21,1
ch:1:sloid:91284::21,1
ch:1:sloid:90902::51,0
ch:1:sloid:91231::20,1
ch:1:sloid:91331::21,1
ch:1:sloid:76280::51,0
ch:1:sloid:91260::20,1
ch:1:sloid:91341::21,1
ch:1:sloid:91347::21,1
ch:1:sloid:80434::51,0
ch:1:sloid:90597::53,0
ch:1:sloid:88311::51,0
ch:1:sloid:76103::50,1
ch:1:sloid:87857::50,1
ch:1:sloid:90529::50,1
ch:1:sloid:87957::50,1
ch:1:sloid:90543::50,1
ch:1:sloid:73569::50,1
ch:1:sloid:87971::50,1
ch:1:sloid:90554::50,1
ch:1:sloid:73588::50,1
ch:1:sloid:87990::50,1
ch:1:sloid:91407::23,1
ch:1:sloid:73679::50,0
ch:1:sloid:87998::50,1
ch:1:sloid:75920::50,1
ch:1:sloid:88020::50,1
ch:1:sloid:76248::50,1
ch:1:sloid:88036::50,1
ch:1:sloid:76271::50,1
ch:1:sloid:88054::50,1
ch:1:sloid:88055::50,1
ch:1:sloid:3167::50,1
ch:1:sloid:75974::50,1
ch:1:sloid:75979::50,0
ch:1:sloid:76277::50,1
ch:1:sloid:88315::50,1
ch:1:sloid:75998::50,1
ch:1:sloid:88317::50,1
ch:1:sloid:76012::50,1
ch:1:sloid:76015::50,1
ch:1:sloid:76018::50,1
ch:1:sloid:80433::50,1
ch:1:sloid:3365::50,1
ch:1:sloid:3367::50,1
ch:1:sloid:3381::50,1
ch:1:sloid:76021::50,1
ch:1:sloid:76024::50,1
ch:1:sloid:89110::50,1
ch:1:sloid:3622::50,1
ch:1:sloid:81674::50,1
ch:1:sloid:87347::50,1
ch:1:sloid:90448::50,1
ch:1:sloid:5324::50,0
ch:1:sloid:76084::50,1
ch:1:sloid:76087::50,1
ch:1:sloid:73680::51,0
ch:1:sloid:76054::51,1
ch:1:sloid:76059::51,1
ch:1:sloid:90889::50,1
ch:1:sloid:91168::50,1
ch:1:sloid:91181::50,1
ch:1:sloid:90928::50,1
